Company,Product,Memory,Storage,Processor,OS,Display,Price
IBALL,Compbook Marvel 6,3 GB,32 GB SSD,Intel Celeron Dual Core,Windows 10,14 inches,₹16900
IBALL,Compbook Marvel 6,3GB,32GB,Intel Celeron Dual Core,Windows 8.1,14 inches,₹13289
IBALL,CompBook Netizen,4 GB,128 GB SSD,Intel Celeron Dual Core,Windows 10,14 inches,₹15000
IBALL,CompBook Netizen,4GB,128GB,Intel Celeron Dual Core,Windows 10,14 inches,₹15000
IBALL,CompBook Premio v3.0,4GB,32GB,Intel Pentium Dual Core,Windows 10,14 inches,₹13990
I-LIFE,ZED ZED Book Grin,2GB,32GB,Atom Quad Core,Win10,10.1 inches,₹9999
JIO,JioBook NB2112QB Netbook,2GB,32GB eMMC,Qualcomm Snapdragon 665,JioOS,11.6 inches,₹15799
LAVA,Helium 12,2 GB DDR3,32 GB SSD,Atom Quad Core x5,Windows 10,12.5 inches,₹12990
LAVA,Helium 12,2GB,32GB,Intel Atom X5 (6th Gen),Windows 10,12.5 inches,₹12990
LAVA,Helium 14,2 GB DDR3,32 GB SSD,Atom Quad Core x5,Windows 10,14.1 inches,₹14999
LAVA,Helium 14,2GB,32GB,Intel Atom X5 (6th Gen),Windows 10,14.1 inches,₹14999
LENOVO,130,4GB,1TB,AMD A6 APU,Windows 10,15.6 inches,₹18990
LENOVO,E41-55,8GB,256 SSD,Athlon Pro 3045B,Win11,14 inches,₹18990
LENOVO,E41-55 82FJ009JIH,4GB,1TB HDD,Athlon Pro 3045B,DOS,14 inches,₹18730
LENOVO,E41-55 82FJ00AGIH,4GB,256GB SSD,Athlon Gold 3150U,DOS,14 inches,₹18990
LENOVO,E41-55 82FJ00ALIH,4GB,1TB HDD,Athlon 3150U,DOS,14 inches,₹18990
LENOVO,E41-55 82FJ00B5IH,4GB,1TB HDD,Athlon 3050U,DOS,14 inches,₹18990
LENOVO,E41-55 82FJ00B5IH,4GB,256GB SSD,Athlon 3050U,DOS,14 inches,₹18990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A6,DOS,15.6 inches,₹17990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A9,Windows 10 Home,15.6 inches,₹19990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core E2 (7th Gen),DOS,15.6 inches,₹18890
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Quad Core A4 (7th Gen),DOS,15.6 inches,₹18990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Quad Core A6 (7th Gen),Windows 10 Home,15.6 inches,₹17990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,Intel Celeron Dual Core,Windows 10 Home,15.6 inches,₹19990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,Intel Core i3 (7th Gen),Windows 10 Home,15.6 inches,₹19494
LENOVO,Ideapad,8 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A9 (7th Gen),DOS,15.6 inches,₹20000
LENOVO,Ideapad 130 (81H5003VIN),4 GB,1 TB  HDD,AMD Dual Core,Windows,15.6 inches,₹17990
LENOVO,IdeaPad 3 CB 11IGL05 82BA001PHA,4GB,64GB eMMC,Celeron Dual Core,Chrome OS,11.6 inches,₹19990
LENOVO,IdeaPad 3 CB 14IGL05 82C1002EHA,4GB,64GB eMMC,Celeron Dual Core,Chrome OS,14 inches,₹18700
LENOVO,Ideapad 320E (80XV00PJIN),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹18890
LENOVO,Ideapad 330 (81DE02YMIN),4 GB,1 TB  HDD,Intel Celeron Dual Core,Windows 10,15.6 inches,₹19990
LENOVO,Ideapad 330-15AST (81D60079IN),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹18990
LENOVO,Ideapad S145 (81N300F2IN),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹17990
LENOVO,Ideapad Slim (81VS0067IN),4 GB,64 GB SSD,AMD Dual Core,Windows,14 inches,₹19490
LENOVO,Ideapad Slim 3i (82C1002EHA),4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,14 inches,₹18736
LENOVO,Ideapad Slim 3i (82C1002EHA),4 GB LPDDR4,64 GB SSD,Celeron Dual Core,Google Chrome,14 inches,₹18736
LENOVO,V110-15AST (80TD0001US),4 GB,500 GB  HDD,AMD Dual Core,Windows,15.6 inches,₹19291
LENOVO,V110-15AST (80TD0001US),4 GB DDR4,500 GB,AMD Dual-Core A6,Windows 10,15.6 inches,₹19291
LENOVO,V145-15AST,4 GB DDR4,500 GB HDD Hard Disk,AMD APU Dual Core A6,Windows 10 Home,15.6 inches,₹17000
LENOVO,V145-34IH,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A6 (7th Gen),DOS,15.6 inches,₹16695
LENOVO,V15-IGL 82C3A008IH,4GB,256GB SSD,Celeron N4020,DOS,15.6 inches,₹19490
MICROMAX,Canvas Laptab II LT777W,2 GB,32 GB SSD,Intel Atom Quad Core,Windows 10,11.6 inches,₹18999
MICROMAX,Canvas Laptab II LT777W,2 GB DDR3,32 GB SSD,Atom Quad-Core,Windows 10,11.6 inches,₹18899
MICROMAX,Lapbook,2 GB DDR3L,HDD Hard Disk,Intel Atom Quad Core (4th),Windows 10 Home,11.6 inches,₹10490
MICROMAX,Lapbook L1160,2GB,32GB,Intel Atom,Windows 10,11.6 inches,₹11100
MICROMAX,Laptab II LT777W,2GB,32GB,Intel Atom,Windows 10,11.6 inches,₹18899
RDP,ThinBook 1010,4 GB,64 GB SSD,Intel Celeron Quad Core,Windows 10,14.1 inches,₹19621
RDP,ThinBook 1010,4 GB DDR4,64 GB SSD,Celeron Quad Core,Windows 10,14.1 inches,₹19621
ULTIMUS,S151 NU14U2INC43VD-CS,4GB,128GB SSD,Celeron N4020,DOS,14.1 inches,₹17990
ULTIMUS,S151 NU14U2INC43VN-CS,4GB,128GB SSD,Celeron N4020,Win11,14.1 inches,₹19990
VENTURER,WT19803W97DK,2 GB DDR3,32 GB SSD Hard Disk,Intel Atom Quad Core (2nd Gen),Windows 10 Home,10.1 inches,₹12999
